NAME,ESSROUND,EDITION,PRODDATE,IDNO,CNTRY,RESCLQ,RESRELQ,RESBAB,RESUNDQ,PREINTF,PREWHP,PRESD,PREPPIL,PREOREL,PRENREL,PREDK,PRENAP,PRENA,RESSWCD,INTLNGA,INTNUM,INTAGEA,INTGNDR,INTAGE,INTNUM1
ESS9INTe03,9,3,18.12.2020,34420,NL,1,1,5,5,1,0,1,0,0,0,0,0,0,1,DUT,984,42,2,NA,984
ESS9INTe03,9,3,18.12.2020,34468,NL,2,1,5,5,2,0,0,0,0,0,0,1,0,1,DUT,617,56,2,NA,617
ESS9INTe03,9,3,18.12.2020,34484,NL,1,1,5,5,2,0,0,0,0,0,0,1,0,1,DUT,2219,58,2,NA,738
ESS9INTe03,9,3,18.12.2020,34497,NL,3,1,5,4,2,0,0,0,0,0,0,1,0,1,DUT,1669,69,1,NA,1669
ESS9INTe03,9,3,18.12.2020,34584,NL,1,3,5,4,2,0,0,0,0,0,0,1,0,1,DUT,1057,68,2,NA,1057
ESS9INTe03,9,3,18.12.2020,34593,NL,2,2,4,4,2,0,0,0,0,0,0,1,0,1,DUT,2285,46,2,NA,2285
ESS9INTe03,9,3,18.12.2020,34626,NL,3,1,5,5,2,0,0,0,0,0,0,1,0,1,DUT,968,58,2,NA,968
ESS9INTe03,9,3,18.12.2020,34784,NL,3,3,4,4,2,0,0,0,0,0,0,1,0,1,DUT,1338,24,2,NA,111
ESS9INTe03,9,3,18.12.2020,34801,NL,3,1,5,4,2,0,0,0,0,0,0,1,0,1,DUT,361,69,2,NA,361
ESS9INTe03,9,3,18.12.2020,34807,NL,3,2,5,5,2,0,0,0,0,0,0,1,0,1,DUT,800,73,1,NA,800
ESS9INTe03,9,3,18.12.2020,34847,NL,2,1,5,5,2,0,0,0,0,0,0,1,0,1,DUT,1669,69,1,NA,2525
ESS9INTe03,9,3,18.12.2020,34860,NL,2,2,5,5,1,0,0,1,0,0,0,0,0,1,DUT,1504,60,1,NA,1504
ESS9INTe03,9,3,18.12.2020,34880,NL,1,1,5,5,2,0,0,0,0,0,0,1,0,1,DUT,1631,54,2,NA,1631
ESS9INTe03,9,3,18.12.2020,34892,NL,3,2,5,5,2,0,0,0,0,0,0,1,0,1,DUT,361,69,2,NA,1135
ESS9INTe03,9,3,18.12.2020,34936,NL,1,5,5,5,2,0,0,0,0,0,0,1,0,1,DUT,361,69,2,NA,361
ESS9INTe03,9,3,18.12.2020,34958,NL,1,1,5,5,2,0,0,0,0,0,0,1,0,1,DUT,361,69,2,NA,1115
ESS9INTe03,9,3,18.12.2020,35028,NL,2,1,5,4,2,0,0,0,0,0,0,1,0,1,DUT,716,63,1,NA,716
ESS9INTe03,9,3,18.12.2020,35047,NL,3,3,4,4,2,0,0,0,0,0,0,1,0,1,DUT,1521,55,2,NA,1521
ESS9INTe03,9,3,18.12.2020,35110,NL,1,1,5,5,2,0,0,0,0,0,0,1,0,1,DUT,1631,54,2,NA,1631
ESS9INTe03,9,3,18.12.2020,35150,NL,3,2,5,5,2,0,0,0,0,0,0,1,0,1,DUT,911,62,1,NA,911
ESS9INTe03,9,3,18.12.2020,35173,NL,2,1,4,5,2,0,0,0,0,0,0,1,0,1,DUT,1871,61,2,NA,1871
